num_target;   la; isd; niter;     tex; te_acc;
         1;  0.0;   1;     3;  0.0510;  100.0;
         1;  0.0;   2;     1;  0.0031;   53.6;
         1;  0.0;   3;    10;  0.1011;  100.0;
         1;  1.0;   1;   102;  0.2903;  100.0;
         1;  1.0;   2;     1;  0.0029;   53.6;
         1;  1.0;   3;    19;  0.1042;  100.0;
         1; 10.0;   1;    36;  0.1590;  100.0;
         1; 10.0;   2;     1;  0.0019;   53.6;
         1; 10.0;   3;    36;  0.1293;  100.0;
         2;  0.0;   1;    78;  0.1959;   99.6;
         2;  0.0;   2;     1;  0.0016;   52.8;
         2;  0.0;   3;    10;  0.0284;   94.8;
         2;  1.0;   1;   251;  0.6976;   99.6;
         2;  1.0;   2;     1;  0.0018;   52.8;
         2;  1.0;   3;    23;  0.0943;   99.6;
         2; 10.0;   1;    75;  0.2275;   98.0;
         2; 10.0;   2;     1;  0.0024;   52.8;
         2; 10.0;   3;    35;  0.1597;   98.0;
         3;  0.0;   1;  3705;  7.9290;   98.4;
         3;  0.0;   2;     1;  0.0016;   51.2;
         3;  0.0;   3;    49;  0.1536;   95.6;
         3;  1.0;   1;   412;  0.9470;   98.8;
         3;  1.0;   2;     1;  0.0016;   51.2;
         3;  1.0;   3;    23;  0.0867;   98.8;
         3; 10.0;   1;   104;  0.2858;   96.8;
         3; 10.0;   2;     1;  0.0016;   51.2;
         3; 10.0;   3;    43;  0.1451;   96.8;
         4;  0.0;   1;     3;  0.0120;  100.0;
         4;  0.0;   2;     1;  0.0012;   54.4;
         4;  0.0;   3;     3;  0.0140;  100.0;
         4;  1.0;   1;   108;  0.3167;  100.0;
         4;  1.0;   2;     1;  0.0015;   54.4;
         4;  1.0;   3;    21;  0.0923;  100.0;
         4; 10.0;   1;    54;  0.1720;  100.0;
         4; 10.0;   2;     1;  0.0013;   54.4;
         4; 10.0;   3;    36;  0.1261;  100.0;
         5;  0.0;   1;     5;  0.0214;  100.0;
         5;  0.0;   2;     1;  0.0013;   56.4;
         5;  0.0;   3;    19;  0.0664;  100.0;
         5;  1.0;   1;   175;  0.4364;  100.0;
         5;  1.0;   2;     1;  0.0016;   56.4;
         5;  1.0;   3;    24;  0.0900;  100.0;
         5; 10.0;   1;    68;  0.2062;  100.0;
         5; 10.0;   2;     1;  0.0014;   56.4;
         5; 10.0;   3;    37;  0.1308;  100.0;
         6;  0.0;   1;    94;  0.2382;   98.8;
         6;  0.0;   2;     1;  0.0017;   52.8;
         6;  0.0;   3;   292;  1.0351;   99.2;
         6;  1.0;   1;   256;  0.6327;   99.6;
         6;  1.0;   2;     1;  0.0015;   52.8;
         6;  1.0;   3;    21;  0.0909;   99.6;
         6; 10.0;   1;    84;  0.2523;  100.0;
         6; 10.0;   2;     1;  0.0015;   52.8;
         6; 10.0;   3;    40;  0.1401;  100.0;
         7;  0.0;   1;    14;  0.0458;   99.6;
         7;  0.0;   2;     1;  0.0014;   54.0;
         7;  0.0;   3;     4;  0.0184;   99.6;
         7;  1.0;   1;   143;  0.3905;  100.0;
         7;  1.0;   2;     1;  0.0015;   54.0;
         7;  1.0;   3;    19;  0.0835;  100.0;
         7; 10.0;   1;    52;  0.1716;  100.0;
         7; 10.0;   2;     1;  0.0017;   54.0;
         7; 10.0;   3;    40;  0.1413;  100.0;
         8;  0.0;   1;  5000; 11.3127;   96.0;
         8;  0.0;   2;     1;  0.0020;   53.6;
         8;  0.0;   3;     3;  0.0104;   85.2;
         8;  1.0;   1;   867;  2.8403;   98.4;
         8;  1.0;   2;     1;  0.0015;   53.6;
         8;  1.0;   3;    24;  0.1084;   98.4;
         8; 10.0;   1;  5000;  8.3767;   97.2;
         8; 10.0;   2;     1;  0.0027;   53.6;
         8; 10.0;   3;    36;  0.2313;   97.2;
         9;  0.0;   1;  2179;  4.8038;   98.0;
         9;  0.0;   2;     1;  0.0036;   54.0;
         9;  0.0;   3;    17;  0.0522;   94.0;
         9;  1.0;   1;   435;  1.0529;   98.4;
         9;  1.0;   2;     1;  0.0014;   54.0;
         9;  1.0;   3;    29;  0.1101;   98.4;
         9; 10.0;   1;   121;  0.3203;   96.4;
         9; 10.0;   2;     1;  0.0020;   54.0;
         9; 10.0;   3;    38;  0.1348;   96.4;
         0;  0.0;   1;   140;  0.3285;  100.0;
         0;  0.0;   2;     1;  0.0015;   52.8;
         0;  0.0;   3;   137;  0.4084;   98.8;
         0;  1.0;   1;   282;  0.7004;  100.0;
         0;  1.0;   2;     1;  0.0033;   52.8;
         0;  1.0;   3;    23;  0.0941;  100.0;
         0; 10.0;   1;  5000; 10.0542;   99.6;
         0; 10.0;   2;     1;  0.0016;   52.8;
         0; 10.0;   3;    42;  0.1592;   99.6;
